Pump_ID,Temperature,Vibration,Pressure,Flow_Rate,RPM,Operational_Hours,Maintenance_Flag,Zone_ID,Block_ID,Pipeline_ID,Location_Code,Latitude,Longitude
2,127.5083501,2.369396896,136.021029,6.501491741,1444.191922,3966.793672,1,Zone_4,Block_4,Pipe_1,Zone_4_Block_4_Pipe_1,25.21236203565421,55.216603186906845
4,88.97518506,4.541125914,147.5169727,7.001516231,1004.802496,3673.288933,0,Zone_5,Block_2,Pipe_1,Zone_5_Block_2_Pipe_1,25.385214291922974,55.18140470953217
3,61.83232458,2.542111952,220.8585773,8.824368176,2597.662712,5489.061016,1,Zone_3,Block_1,Pipe_2,Zone_3_Block_1_Pipe_2,25.31959818254342,55.34862125274558
3,106.2503441,2.834451783,145.817091,16.28351155,2280.926281,3134.783015,0,Zone_5,Block_4,Pipe_1,Zone_5_Block_4_Pipe_1,25.27959754525911,55.20702599800808
2,84.81586513,3.119708651,235.4762214,8.385183025,2594.131667,761.5331731,1,Zone_5,Block_1,Pipe_2,Zone_5_Block_1_Pipe_2,25.146805592132733,55.184280352906214
5,80.62222666,2.664719444,233.696404,14.47480085,2430.060086,1037.271966,0,Zone_2,Block_1,Pipe_2,Zone_2_Block_1_Pipe_2,25.146798356100863,55.26280882494748
5,125.3004571,3.824312465,193.2862538,2.073177316,1100.62406,1795.148796,1,Zone_3,Block_3,Pipe_1,Zone_3_Block_3_Pipe_1,25.11742508365046,55.14227726749243
3,77.05253829,2.626150543,255.1993043,15.82293656,2378.030725,4250.459657,0,Zone_3,Block_1,Pipe_3,Zone_3_Block_1_Pipe_3,25.35985284373248,55.34065909422621
5,103.7374452,3.035734578,285.8296615,3.802423632,2449.470978,1308.38248,1,Zone_3,Block_1,Pipe_1,Zone_3_Block_1_Pipe_1,25.280334503522962,55.12236519310393
1,73.91112331,2.963130353,251.4551381,2.710359264,2223.378576,5967.585506,0,Zone_5,Block_4,Pipe_1,Zone_5_Block_4_Pipe_1,25.27959754525911,55.20702599800808
1,101.9209111,4.657018941,297.0150297,7.678913915,2525.997234,6437.334982,1,Zone_4,Block_1,Pipe_1,Zone_4_Block_1_Pipe_1,25.312421773338812,55.396066080980155
2,99.49157885,4.559422689,266.1851543,14.27497357,2707.536977,8474.150455,1,Zone_3,Block_3,Pipe_3,Zone_3_Block_3_Pipe_3,25.10617534828874,55.331673430788996
1,74.15649754,4.337977884,228.5084958,12.36309601,2273.222648,3909.490985,0,Zone_5,Block_2,Pipe_3,Zone_5_Block_2_Pipe_3,25.390972955648596,55.15961470446025
3,129.3355099,2.917926637,112.3209383,10.69678084,2977.00318,2052.643276,1,Zone_2,Block_2,Pipe_2,Zone_2_Block_2_Pipe_2,25.349732792240125,55.10165663513708
2,64.35114661,3.107607204,270.5765585,14.76830233,2152.565699,8885.664296,0,Zone_4,Block_4,Pipe_3,Zone_4_Block_4_Pipe_3,25.163701733203485,55.34463842853645
4,51.24925604,0.371006244,179.8171647,9.915315689,1505.192185,2339.790463,1,Zone_2,Block_4,Pipe_3,Zone_2_Block_4_Pipe_3,25.15454749016213,55.31205720315428
5,146.5315308,4.121769719,285.3719906,2.234816282,2878.580489,9616.17686,0,Zone_4,Block_1,Pipe_1,Zone_4_Block_1_Pipe_1,25.312421773338812,55.396066080980155
4,101.1438057,2.944392195,186.6113434,16.80106694,1057.62217,8517.617749,1,Zone_5,Block_4,Pipe_2,Zone_5_Block_4_Pipe_2,25.15502135295603,55.31870215041229
2,85.00502733,2.72581348,207.9396359,9.8557352,2667.088316,5096.102414,1,Zone_1,Block_1,Pipe_2,Zone_1_Block_1_Pipe_2,25.191272672887862,55.331381104005786
2,71.51282333,4.066965295,223.0085663,17.24151141,1299.725303,3260.272264,0,Zone_4,Block_4,Pipe_3,Zone_4_Block_4_Pipe_3,25.163701733203485,55.34463842853645
4,134.3878548,3.860696877,145.0190297,4.012986278,2359.560321,5487.422673,1,Zone_2,Block_2,Pipe_3,Zone_2_Block_2_Pipe_3,25.25742692948967,55.12221339552023
1,109.6930265,4.209409002,264.3218809,1.987626109,1539.706301,7460.64143,1,Zone_5,Block_2,Pipe_1,Zone_5_Block_2_Pipe_1,25.385214291922974,55.18140470953217
5,87.92437407,4.506133948,100.4718023,15.51586752,1221.340302,8757.780052,1,Zone_4,Block_2,Pipe_3,Zone_4_Block_2_Pipe_3,25.229583505592636,55.20753971856328
1,58.53421627,4.635737998,199.0544593,18.44944019,1788.278925,1344.337802,1,Zone_1,Block_2,Pipe_3,Zone_1_Block_2_Pipe_3,25.187368742059412,55.13476071785754
2,124.1900255,0.2300108,131.3999184,6.502284213,2642.08975,3574.49082,1,Zone_1,Block_1,Pipe_2,Zone_1_Block_1_Pipe_2,25.191272672887862,55.331381104005786
1,70.93300366,1.475830527,216.2409044,18.47969011,2102.236624,2580.008838,1,Zone_3,Block_1,Pipe_3,Zone_3_Block_1_Pipe_3,25.35985284373248,55.34065909422621
3,60.08033604,0.15918128,165.03533,18.75928947,1467.539736,3917.48877,0,Zone_3,Block_1,Pipe_1,Zone_3_Block_1_Pipe_1,25.280334503522962,55.12236519310393
2,72.08750085,1.027452083,128.5814517,10.90392802,1882.51241,3930.799475,0,Zone_2,Block_2,Pipe_2,Zone_2_Block_2_Pipe_2,25.349732792240125,55.10165663513708
3,135.3641894,0.640235478,159.0291428,18.43822473,1675.72097,6070.046428,0,Zone_4,Block_3,Pipe_2,Zone_4_Block_3_Pipe_2,25.283555868416713,55.35893102776268
1,120.1661595,4.924103165,213.3203898,18.51318708,2447.378385,3272.441168,0,Zone_4,Block_2,Pipe_3,Zone_4_Block_2_Pipe_3,25.229583505592636,55.20753971856328
4,87.17957188,1.025394294,282.8990157,12.30016158,1119.308375,666.2039378,1,Zone_3,Block_2,Pipe_1,Zone_3_Block_2_Pipe_1,25.141848158195614,55.286989438048266
5,91.42264904,3.37576179,147.2695311,18.63432465,2898.518357,7534.101742,1,Zone_4,Block_3,Pipe_2,Zone_4_Block_3_Pipe_2,25.283555868416713,55.35893102776268
4,136.1613061,2.061145726,205.8410142,1.814948211,2200.547233,3942.111784,1,Zone_4,Block_3,Pipe_1,Zone_4_Block_3_Pipe_1,25.187643394560567,55.199269407455795
2,99.02511544,1.495703794,126.7660446,12.52804826,1614.201944,8852.894841,0,Zone_1,Block_4,Pipe_1,Zone_1_Block_4_Pipe_1,25.209908552988107,55.11906750508581
2,82.75553188,2.158282119,158.6429044,2.757463962,2845.166996,231.7489312,1,Zone_3,Block_2,Pipe_3,Zone_3_Block_2_Pipe_3,25.23682099526511,55.1932946965147
2,78.37605261,1.946262523,165.8889688,8.611987574,1583.260956,6999.775187,1,Zone_5,Block_3,Pipe_1,Zone_5_Block_3_Pipe_1,25.335552788417903,55.19755499660803
1,125.7518854,2.54951247,141.1087151,19.75316802,2834.146877,191.8294627,1,Zone_3,Block_4,Pipe_2,Zone_3_Block_4_Pipe_2,25.15990213464751,55.318881853501416
5,72.4433093,1.384574196,218.5993229,19.32002895,2041.799678,3590.57336,1,Zone_5,Block_3,Pipe_3,Zone_5_Block_3_Pipe_3,25.254270331524083,55.291267241406565
1,121.2561591,0.432130925,161.9110067,6.771157621,1774.393072,9416.81118,0,Zone_1,Block_3,Pipe_2,Zone_1_Block_3_Pipe_2,25.277724370658614,55.3661638227729
4,139.0175359,2.166646413,223.3169493,15.33385708,2516.995663,865.0026947,0,Zone_2,Block_4,Pipe_1,Zone_2_Block_4_Pipe_1,25.113935123816,55.24166447754858
5,90.7490498,0.583999637,121.5474525,4.414625046,2479.313549,7987.358639,1,Zone_4,Block_2,Pipe_1,Zone_4_Block_2_Pipe_1,25.28226345557043,55.13587827378149
2,127.7664452,1.464076162,102.9843037,0.942795544,1167.354263,946.4500761,0,Zone_1,Block_4,Pipe_3,Zone_1_Block_4_Pipe_3,25.151157237106187,55.3139734361669
3,54.36778198,3.099932773,199.116986,14.93833668,1344.658001,8568.556947,1,Zone_4,Block_2,Pipe_3,Zone_4_Block_2_Pipe_3,25.229583505592636,55.20753971856328
1,67.78176874,3.325990005,112.3574864,7.861536355,1232.761626,2435.816136,0,Zone_2,Block_3,Pipe_2,Zone_2_Block_3_Pipe_2,25.119515477895586,55.32823551458507
